mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,1,0.5,r,0.001,3.64533387850091,2,57.5931978375855,0.500000000000029,85.6930016165145,0,-57.5931978375855,-0.500000000000029,85.6930016165145,21.9058027109162,0.283048541496502
2.3,6.5,1,0.5,r,0.005,2.00574472285634,2,57.7641567168964,0.50000000000003,67.1241218623067,0,-57.7641567168964,-0.50000000000003,67.1241218623067,22.0939993731228,0.289336812514902
2.3,6.5,1,0.5,r,0.01,1.56996278323402,2,57.6148769770496,0.500000000000007,58.7732925413269,0,-57.6148769770496,-0.500000000000007,58.7732925413269,22.0248722746974,0.289507228852497
2.3,6.5,1,0.5,chi,1,30,0,0.0289179609152677,0.000261483767750626,1.0000053784928,1,0.000124329205358696,1.11845938183134e-06,0.00112298865775696,0.00754419688559472,2.47648946612986e-07
2.3,6.5,1,0.5,chi,5,30,0,0.145220382356539,0.00131306582581378,5.00002689246401,1,-0.000564848506265733,-5.11569607914542e-06,-0.0114263639756877,0.0378867203420287,6.15663412995391e-06
2.3,6.5,1,0.5,chi,10,30,0,0.29469279048097,0.00266422889020974,10.000053784928,0,-0.0103473604274013,-9.34296167395184e-05,-0.15484486646802,0.0768910115178742,2.41175007378163e-05
2.3,6.5,1,1,r,0.001,30,0,2.00404067866731,0.0185143078160383,16.2022231961515,0,0.00018249166786357,1.92044588794665e-06,-0.111594935308909,0.513193455294739,0.00223408796345456
2.3,6.5,1,1,r,0.005,2.4251044930961,2,55.7557667762909,0.500000000000028,75.680978937693,0,-55.7557667762909,-0.500000000000028,75.680978937693,20.4206103454263,0.261246063080559
2.3,6.5,1,1,r,0.01,1.75064143029392,2,55.8296049350348,0.500000000000012,62.8412001788033,0,-55.8296049350348,-0.500000000000012,62.8412001788033,20.5556719590695,0.266995981742834
2.3,6.5,1,1,chi,1,30,0,0.0580999638145043,0.000528028688613564,1.00011098581366,1,2.45745164747312e-09,1.95939868265971e-11,8.48801843863943e-07,0.0150950444801566,1.64646823609838e-06
